2004-Feb-23 22:02,35.93901,9.90207,208.79934,71.248
2004-Feb-23 22:07,35.93747,9.90112,208.80684,71.247
2004-Feb-24 08:31,36.23985,9.8469,208.69092,71.445
2004-Feb-24 08:32,36.24031,9.84706,208.68756,71.445
2004-Feb-24 08:33,36.24075,9.84722,208.68426,71.446
2004-Feb-24 08:34,36.2412,9.84739,208.68084,71.446
2004-Feb-24 08:35,36.24164,9.84755,208.67748,71.446
2004-Feb-24 10:16,36.26936,9.86676,208.31196,71.467
2004-Feb-24 10:17,36.26945,9.86697,208.30818,71.467
2004-Feb-24 10:18,36.26955,9.86718,208.30440,71.467
2004-Feb-24 10:19,36.26963,9.86739,208.30062,71.467
2004-Feb-24 10:20,36.26972,9.8676,208.29684,71.467
2004-Feb-24 12:01,36.25997,9.88915,207.91986,71.461
2004-Feb-24 12:02,36.25969,9.88936,207.91626,71.461
2004-Feb-24 12:03,36.25942,9.88957,207.91266,71.46
2004-Feb-24 12:04,36.25914,9.88978,207.90906,71.46
2004-Feb-24 12:05,36.25885,9.88999,207.90552,71.46
2004-Feb-24 13:46,36.21424,9.90907,207.57666,71.428
2004-Feb-24 13:47,36.21366,9.90923,207.57378,71.428
2004-Feb-24 13:48,36.21307,9.90939,207.57096,71.427
2004-Feb-24 13:49,36.21248,9.90955,207.56814,71.427
2004-Feb-24 13:50,36.21189,9.90971,207.56526,71.427
2004-Feb-24 15:31,36.14235,9.92209,207.33312,71.376
2004-Feb-24 15:32,36.14159,9.92217,207.33138,71.375
2004-Feb-24 15:33,36.14083,9.92225,207.32970,71.375
2004-Feb-24 15:34,36.14006,9.92233,207.32802,71.374
2004-Feb-24 15:35,36.1393,9.9224,207.32628,71.374
2004-Feb-24 17:16,36.06012,9.92524,207.21912,71.315
2004-Feb-24 17:17,36.05935,9.92522,207.21870,71.314
2004-Feb-24 17:18,36.05857,9.92519,207.21828,71.314
2004-Feb-24 17:19,36.0578,9.92517,207.21786,71.313
2004-Feb-24 17:20,36.05703,9.92515,207.21750,71.313
2004-Feb-25 06:01,36.20549,9.83711,207.44838,71.392
2004-Feb-25 06:02,36.20612,9.83722,207.44556,71.393
2004-Feb-25 06:03,36.20676,9.83733,207.44280,71.393
2004-Feb-25 06:04,36.20739,9.83745,207.43998,71.394
2004-Feb-25 06:05,36.20803,9.83756,207.43716,71.394
2004-Feb-25 07:46,36.25763,9.85303,207.11058,71.43
2004-Feb-25 07:47,36.25797,9.85322,207.10698,71.43
2004-Feb-25 07:48,36.2583,9.8534,207.10344,71.43
2004-Feb-25 07:49,36.25862,9.85359,207.09984,71.431
2004-Feb-25 07:50,36.25895,9.85378,207.09624,71.431
